"Facility";"YearNum";"ProgramType";"GroupCode"
"sociology";"2012";"бакалавриат";"4.1"
"sociology";"2012";"бакалавриат";"4.2"
"sociology";"2012";"бакалавриат";"4.3"
"sociology";"2012";"бакалавриат";"4.4"
"sociology";"2012";"бакалавриат";"4.5"
"sociology";"2012";"бакалавриат";"4.6"
"sociology";"2012";"бакалавриат";"4.7"
"sociology";"2013";"бакалавриат";"3.1"
"sociology";"2013";"бакалавриат";"3.2"
"sociology";"2013";"бакалавриат";"3.3"
"sociology";"2013";"бакалавриат";"3.4"
"sociology";"2013";"бакалавриат";"3.5"
"sociology";"2013";"бакалавриат";"3.6"
"sociology";"2013";"бакалавриат";"3.7"
"sociology";"2014";"бакалавриат";"2.1"
"sociology";"2014";"бакалавриат";"2.2"
"sociology";"2014";"бакалавриат";"2.3"
"sociology";"2014";"бакалавриат";"2.4"
"sociology";"2014";"бакалавриат";"2.5"
"sociology";"2014";"бакалавриат";"2.6"
"sociology";"2014";"бакалавриат";"2.7"
"sociology";"2015";"бакалавриат";"1.1"
"sociology";"2015";"бакалавриат";"1.2"
"sociology";"2015";"бакалавриат";"1.3"
"sociology";"2015";"бакалавриат";"1.4"
"sociology";"2015";"бакалавриат";"1.5"
"sociology";"2015";"бакалавриат";"1.6"
"sociology";"2015";"бакалавриат";"1.7"
"sociology";"2014";"магистратура";"2  ГИ"
"sociology";"2014";"магистратура";"2  С Р"
"sociology";"2014";"магистратура";"2  СА"
"sociology";"2014";"магистратура";"2  СК"
"sociology";"2014";"магистратура";"2  СОУП"
"sociology";"2014";"магистратура";"2  ЭС"
"sociology";"2014";"магистратура";"2 ЕО"
"sociology";"2014";"магистратура";"2 СПМО"
"sociology";"2014";"магистратура";"2 ССТ"
"sociology";"2014";"магистратура";"2 СМИТ"
"sociology";"2015";"магистратура";"1  ЕО"
"sociology";"2015";"магистратура";"1  СК"
"sociology";"2015";"магистратура";"1 СОУП"
"sociology";"2015";"магистратура";"1 СПМО"
"sociology";"2015";"магистратура";"1 СР"
"sociology";"2015";"магистратура";"1 ЭС"
"sociology";"2015";"магистратура";"1СА"
"sociology";"2015";"магистратура";"1ССТ"
"sociology";"2015";"магистратура";"1 СМИТ"
"biology";"2012";"бакалавриат";"4  Э"
"biology";"2012";"бакалавриат";"4 Б"
"biology";"2012";"бакалавриат";"4 К 1"
"biology";"2012";"бакалавриат";"4 К 2"
"biology";"2012";"бакалавриат";"4 Ф 1"
"biology";"2012";"бакалавриат";"4 Ф 2"
"biology";"2013";"бакалавриат";"3 Б"
"biology";"2013";"бакалавриат";"3 К 1"
"biology";"2013";"бакалавриат";"3 К 2"
"biology";"2013";"бакалавриат";"3 К 3"
"biology";"2013";"бакалавриат";"3 Ф 1"
"biology";"2013";"бакалавриат";"3 Ф 2"
"biology";"2014";"бакалавриат";"2 Б 1"
"biology";"2014";"бакалавриат";"2 Б 2"
