Facility;YearNum;ProgramType;GroupCode
социологии;4;бакалавриат;4.1
социологии;4;бакалавриат;4.2
социологии;4;бакалавриат;4.3
социологии;4;бакалавриат;4.4
социологии;4;бакалавриат;4.5
социологии;4;бакалавриат;4.6
социологии;4;бакалавриат;4.7
социологии;3;бакалавриат;3.1
социологии;3;бакалавриат;3.2
социологии;3;бакалавриат;3.3
социологии;3;бакалавриат;3.4
социологии;3;бакалавриат;3.5
социологии;3;бакалавриат;3.6
социологии;3;бакалавриат;3.7
социологии;2;бакалавриат;2.1
социологии;2;бакалавриат;2.2
социологии;2;бакалавриат;2.3
социологии;2;бакалавриат;2.4
социологии;2;бакалавриат;2.5
социологии;2;бакалавриат;2.6
социологии;2;бакалавриат;2.7
социологии;1;бакалавриат;1.1
социологии;1;бакалавриат;1.2
социологии;1;бакалавриат;1.3
социологии;1;бакалавриат;1.4
социологии;1;бакалавриат;1.5
социологии;1;бакалавриат;1.6
социологии;1;бакалавриат;1.7
социологии;2;магистратура;2  ГИ
социологии;2;магистратура;2  С Р
социологии;2;магистратура;2  СА
социологии;2;магистратура;2  СК
социологии;2;магистратура;2  СОУП
социологии;2;магистратура;2  ЭС
социологии;2;магистратура;2 ЕО
социологии;2;магистратура;2 СПМО
социологии;2;магистратура;2 ССТ
социологии;2;магистратура;2 СМИТ
социологии;1;магистратура;1  ЕО
социологии;1;магистратура;1  СК
социологии;1;магистратура;1 СОУП
социологии;1;магистратура;1 СПМО
социологии;1;магистратура;1 СР
социологии;1;магистратура;1 ЭС
социологии;1;магистратура;1СА
социологии;1;магистратура;1ССТ
социологии;1;магистратура;1 СМИТ
биологии;4;бакалавриат;4  Э
биологии;4;бакалавриат;4 Б
биологии;4;бакалавриат;4 К 1
биологии;4;бакалавриат;4 К 2
биологии;4;бакалавриат;4 Ф 1
биологии;4;бакалавриат;4 Ф 2
биологии;3;бакалавриат;3 Б
биологии;3;бакалавриат;3 К 1
биологии;3;бакалавриат;3 К 2
биологии;3;бакалавриат;3 К 3
биологии;3;бакалавриат;3 Ф 1
биологии;3;бакалавриат;3 Ф 2
биологии;2;бакалавриат;2 Б 1
биологии;2;бакалавриат;2 Б 2
биологии;2;бакалавриат;2 Б 3
биологии;2;бакалавриат;2 Б 4
биологии;2;бакалавриат;2 Б 5
биологии;2;бакалавриат;2 Б 6
биологии;1;бакалавриат;1 Б 1
биологии;1;бакалавриат;1 Б 2
биологии;1;бакалавриат;1 Б 3
биологии;1;бакалавриат;1 Б 4
биологии;1;бакалавриат;1 Б 5
биологии;1;бакалавриат;1 Б 6
биологии;1;бакалавриат;1 Б 7
биологии;1;бакалавриат;1 Б 8
биологии;2;магистратура;2 М БИОФИЗИКА
биологии;2;магистратура;2 М БИОХИМИЯ
биологии;2;магистратура;2 М БОТАНИКА
биологии;2;магистратура;2 М ГЕНЕТИКА
биологии;2;магистратура;2 М ГИДРБИОЛОГИЯ
биологии;2;магистратура;2 М З/ БЕСП
биологии;2;магистратура;2 М З/ПОЗВ
биологии;2;магистратура;2 М МИКРОБИОЛОГИЯ
биологии;2;магистратура;2 М НЕЙРОБИОЛОГИЯ
биологии;2;магистратура;2 М ФБР
биологии;2;магистратура;2 М ФИЗИОЛОГИЯ
биологии;2;магистратура;2 М ЦИТОЛОГИЯ
биологии;2;магистратура;2 М ЭКОЛОГИЯ  назем
биологии;2;магистратура;2 М ЭКОЛОГИЯ водная
биологии;2;магистратура;2 М ЭМБРИОЛОГИЯ
биологии;1;магистратура;1 М Биохимия
биологии;1;магистратура;1 М Ботаника
биологии;1;магистратура;1 М Генетика
биологии;1;магистратура;1 М Гидробиология
биологии;1;магистратура;1 М Зоология паразитология
биологии;1;магистратура;1 М Микробиология
биологии;1;магистратура;1 М Нейробиология
биологии;1;магистратура;1 М ФБР
биологии;1;магистратура;1 М Физиология
биологии;1;магистратура;1 М Цитология
биологии;1;магистратура;1 М Экология водн
биологии;1;магистратура;1 М Экология назем
биологии;1;магистратура;1 М Эмбриология
биологии;1;магистратура;1 М Энтомология
востоковедения;4;бакалавриат;41АрФ
востоковедения;4;бакалавриат;41Асс
востоковедения;4;бакалавриат;41ВтКтФ
востоковедения;4;бакалавриат;41Гбр
востоковедения;4;бакалавриат;41Егп
востоковедения;4;бакалавриат;41ИИА
востоковедения;4;бакалавриат;41ИИБ
востоковедения;4;бакалавриат;41ИКв(Гр)
востоковедения;4;бакалавриат;41ИКт
востоковедения;4;бакалавриат;41ИрФ
востоковедения;4;бакалавриат;41ИЯп
востоковедения;4;бакалавриат;41КрФ
востоковедения;4;бакалавриат;41КтФ
востоковедения;4;бакалавриат;41КхТФ
востоковедения;4;бакалавриат;41ОТД
востоковедения;4;бакалавриат;41ТбМнФ
востоковедения;4;бакалавриат;41ТрФ
востоковедения;4;бакалавриат;41ЭБВ
востоковедения;4;бакалавриат;41ЭКт
востоковедения;4;бакалавриат;41ЯВА
востоковедения;4;бакалавриат;42ОТД
востоковедения;3;бакалавриат;31ИАС
востоковедения;3;бакалавриат;31ИаФ
востоковедения;3;бакалавриат;31ИВт
востоковедения;3;бакалавриат;31ИДВ
востоковедения;3;бакалавриат;31ИИА
востоковедения;3;бакалавриат;31ИКв (Аз)
востоковедения;3;бакалавриат;31ИКт
востоковедения;3;бакалавриат;31ИМн
востоковедения;3;бакалавриат;31ИнМлФ
востоковедения;3;бакалавриат;31ИТл
востоковедения;3;бакалавриат;31ИТр
востоковедения;3;бакалавриат;31ИЦА
востоковедения;3;бакалавриат;31КрФ
востоковедения;3;бакалавриат;31КтФ
востоковедения;3;бакалавриат;31КхВтФ
востоковедения;3;бакалавриат;31ОТД
востоковедения;3;бакалавриат;31ЭБВ
востоковедения;3;бакалавриат;31ЯЗА
востоковедения;3;бакалавриат;31ЯпФ
востоковедения;3;бакалавриат;32ИКт
востоковедения;3;бакалавриат;32ОТД
востоковедения;3;бакалавриат;32ЯпФ
востоковедения;2;бакалавриат;21АрФ
востоковедения;2;бакалавриат;21Гбр
востоковедения;2;бакалавриат;21Егп
востоковедения;2;бакалавриат;21ИИн
востоковедения;2;бакалавриат;21ИКв(Ар)
востоковедения;2;бакалавриат;21ИКр
востоковедения;2;бакалавриат;21ИКт
востоковедения;2;бакалавриат;21ИрФ
востоковедения;2;бакалавриат;21ИЯп
востоковедения;2;бакалавриат;21ТрФ
востоковедения;2;бакалавриат;21ЯЗА
востоковедения;2;бакалавриат;22ИКр
востоковедения;2;бакалавриат;22ИКт
востоковедения;2;бакалавриат;22ИЯп
востоковедения;1;бакалавриат;11ИАС
востоковедения;1;бакалавриат;11ИаФ
востоковедения;1;бакалавриат;11ИИА
востоковедения;1;бакалавриат;11ИнФФ
востоковедения;1;бакалавриат;11Исл
востоковедения;1;бакалавриат;11ИТл
востоковедения;1;бакалавриат;11ИТр
востоковедения;1;бакалавриат;11ИЦА
востоковедения;1;бакалавриат;11КрФ
востоковедения;1;бакалавриат;11КтФ
востоковедения;1;бакалавриат;11КхВтФ
востоковедения;1;бакалавриат;11ТбМнФ
востоковедения;1;бакалавриат;11ЯВА
востоковедения;1;бакалавриат;11ЯпФ
востоковедения;1;бакалавриат;12КрФ
востоковедения;1;бакалавриат;12КтФ
востоковедения;1;бакалавриат;12ЯпФ
востоковедения;2;магистратура;2МИИрФ
востоковедения;2;магистратура;2МИИЯп
востоковедения;2;магистратура;2МИТб
востоковедения;2;магистратура;2МИТрФ
востоковедения;2;магистратура;2МКИАС
востоковедения;2;магистратура;2МКИрФ
востоковедения;2;магистратура;2МККтФ
востоковедения;2;магистратура;2МЛАрФ
востоковедения;2;магистратура;2МЛИаФ
востоковедения;2;магистратура;2МЛИЯп
востоковедения;2;магистратура;2МЛКтФ
востоковедения;2;магистратура;2МПИАС
востоковедения;2;магистратура;2МПИКв
востоковедения;2;магистратура;2МПИКт
востоковедения;2;магистратура;2МПИнМл
востоковедения;2;магистратура;2МПИрФ
востоковедения;2;магистратура;2МПИЯп
востоковедения;2;магистратура;2МРЗА
востоковедения;2;магистратура;2МРИЯп
востоковедения;2;магистратура;2МРТбМнФ
востоковедения;2;магистратура;2МЭБрФ
востоковедения;2;магистратура;2МЭИАС
востоковедения;2;магистратура;2МЭИКт
востоковедения;2;магистратура;2МЭИЯп
востоковедения;2;магистратура;2МЭКхВт Ф
востоковедения;2;магистратура;2МЭКхТФ
востоковедения;2;магистратура;2МЭТрФ
востоковедения;2;магистратура;2МЭЯЗА
востоковедения;2;магистратура;2МЯ1ТМФ
востоковедения;2;магистратура;2МЯ2ТМФ
востоковедения;2;магистратура;2МЯАрФ
востоковедения;2;магистратура;2МЯКтФ
востоковедения;2;магистратура;2МЯЯЗА
востоковедения;1;магистратура;1МИаБФ
востоковедения;1;магистратура;1МИИАС
востоковедения;1;магистратура;1МИИВК
востоковедения;1;магистратура;1МИИИБ
востоковедения;1;магистратура;1МИИКт
востоковедения;1;магистратура;1МИЯп
востоковедения;1;магистратура;1МКАсс
востоковедения;1;магистратура;1МКИаБФ
востоковедения;1;магистратура;1МКИКВ
востоковедения;1;магистратура;1МКИнФФ
востоковедения;1;магистратура;1МККтФ
востоковедения;1;магистратура;1МКТМФ
востоковедения;1;магистратура;1МКТрФ
востоковедения;1;магистратура;1МЛАрФ
востоковедения;1;магистратура;1МЛИаБФ
востоковедения;1;магистратура;1МЛКтФ
востоковедения;1;магистратура;1МЛКхТФ
востоковедения;1;магистратура;1МЛЯВА
востоковедения;1;магистратура;1МЛЯФ
востоковедения;1;магистратура;1МПАрФ
востоковедения;1;магистратура;1МПИВК
востоковедения;1;магистратура;1МПИКр
востоковедения;1;магистратура;1МПИКт
востоковедения;1;магистратура;1МПИнФФ
востоковедения;1;магистратура;1МПИЯп
востоковедения;1;магистратура;1МПЭБВ
востоковедения;1;магистратура;1МРАрФ
востоковедения;1;магистратура;1МРАсс
востоковедения;1;магистратура;1МРИаФ
востоковедения;1;магистратура;1МРИИА
востоковедения;1;магистратура;1МРИЯп
востоковедения;1;магистратура;1МРКтФ
востоковедения;1;магистратура;1МРЭБВ
востоковедения;1;магистратура;1МРЯЗА
востоковедения;1;магистратура;1МЭИВК
востоковедения;1;магистратура;1МЭИКр
востоковедения;1;магистратура;1МЭИКт
востоковедения;1;магистратура;1МЭИЯп
востоковедения;1;магистратура;1МЭЭБВ
востоковедения;1;магистратура;1МЯИАС
востоковедения;1;магистратура;1МЯИКр
востоковедения;1;магистратура;1МЯКтФ
востоковедения;1;магистратура;1МЯЯпФ
земли;1;магистратура;ПОМОР/ POMOR
земли;1;магистратура;1  Геофизика
земли;1;магистратура;1  Геохимия и минералогия
земли;1;магистратура;1  Гидрогеология
земли;1;магистратура;1  Инженерная геология
земли;1;магистратура;1  Минерагения и геолого-экономическая оценка месторождений полезных ископаемых
земли;1;магистратура;1  Почвоведение
земли;1;магистратура;1  Тектоника осадочная геология и палеонтология
земли;1;бакалавриат;1 География
земли;1;бакалавриат;2 География
земли;1;бакалавриат;3 География
земли;1;магистратура;1 Геоинформатика
земли;1;магистратура;1 Геоэкологический мониторинг
земли;1;магистратура;1 Метеорология
