"ID";"Screen name";"Type";"Name";"Count"
"61837683";"lancelotofthelake";"page";"Lancelot [Ультранеоромантизм]";"Доброй ночи, сетевой путник!<br><br>Я - pомантик, и совершенно этого не стесняюсь. Сколько бы разочарований ни встречалось на моём пути, не устаю удивляться другим мирам, странам, эпохам.<br><br>Я верю, что и в обыденной реальности можно найти прекрасное - если как следует присмотреться. Я разыскиваю розы на заброшенных пустырях, разглядываю огоньки звёзд на чёрном ночном небе и готов обойти мрачное кладбище затем лишь, чтобы полюбоваться на мраморную статую ангела, склонившегося над могилой.<br><br>В такие моменты я обычно пишу стихи. Быть может, тебе они также придутся по душе.<br><br>Welcome to my realm!";"1"
"48314753";"jackpoetry";"page";"джек-с-фонарём";"в мире другом зацветает вереск, как не тасуй - наверху валет. где бы ты ни был, я здесь надеюсь, что ты умеешь вставать на след.";"1"
"50381556";"curiosity_shop";"page";"Маленький магазинчик ужасов";"*старинные книги, черепа и сросшиеся близнецы в формалине - следите за новостями*<br><br>#вдохновениеМагазинчика<br>#статьиМагазинчика<br>#конкурсМагазинчика<br>#фотоуголокМагазинчика<br>#рекомендацииМагазинчика<br>#будниМагазинчика<br>#киноклубМагазинчика<br>#покупателиМагазинчика<br>#книгиМагазинчика<br>#календарьМагазинчика<br><br>Инстаграм: #маленькиймагазинчикужасов<br><br>НЕ грубить, НЕ хамить - и будет вам счастье :)<br>Если вам не нравится наш антураж - проходите мимо.<br><br>_________________________<br><br>ЧТО У НАС ЕСТЬ<br><br>Все необычные и антуражные товары оперативно появляются в альбомах (http://vk.com/albums-50381556), а также на стене.<br>Все в наличии.<br>Как заказать: http://vk.com/topic-50381556_28282579<br><br>Еще мы делаем в Москве красивые антуражные съемки, в том числе периодически появляются спец. предложения.<br>Информация на стене, группа нашего фотографа: http://vk.com/forgotten_tale<br><br>_________________________<br><br>ДОСТАВКА И ОПЛАТА<br><br>Мы отсылаем наши штуки по всему миру.<br>К оплате принимаются платежи на карту Сбербанка, Яндекс-кошелек и Киви.<br>Все подробности: https://vk.com/topic-50381556_28282579<br>_________________________<br><br>У нас нет рекламы, и она нам не интересна.<br>Если мы о ком-то рассказываем, то вероятно, они наши друзья, а их штуки мы проверили лично)";"1"
"33426079";"stefaniadanilova";"page";"• Стефания Данилова пишет: •";"Девочка из более прочного текста, чем вам казалось.<br><br>• instagram.com/stefaniadanilova<br>• telegram.me/stefaniadanilova<br>• stihi.ru/avtor/lostkitten<br>• rewizor.ru/authors/stefaniya-danilova/<br>• facebook.com/stefaniadanilova <br>• stefania-da.livejournal.com <br>• twitter.com/vesnadzat<br>• ask.fm/kamikorose <br>• ru.wikipedia.org/wiki/Стефания_Данилова<br><br>Её букв дело:<br>• vk.com/we_are_poetry_21 (Фестиваль ""Всемирный День Поэзии"" в СПб) <br>• vk.com/broad_sky (Фестиваль-конкурс им. Бродского)<br>• vk.com/seriya_razbeg (Серия книг ""Разбег"")<br>• vk.com/mayak_na_kolesax (Журнал филфака СПБГУ ""Маяк на колёсах)<br>• vk.com/sexondhand (ЧужоеМоё)<br><br>Чувствуйте себя как дома.<br>Чувствуйте себя.<br>Чувствуйте.";"1"
"35980264";"dark_romantic_club";"page";"Dark Romantic Club";"Это - страница Dark Romantic Club.<br><br>Паблик посвящен тёмной эстетике и искусству. Мы любим прекрасное и верим в ценность творчества.<br><br>В центре наших интересов - так называемый тёмный романтизм (мистика, готика etc.), но мы не ограничиваемся этим направлением. Нам интересны самые разные области литературы, кинематографа, музыки и других видов искусства.<br><br>Сайт Клуба:<br>http://www.dark-club.ru/<br>Что такое тёмный романтизм:<br>http://www.dark-club.ru/%D0%BE-%D0%BA%D0%BB%D1%83%D0%B1%D0%B5/%D1%82%D1%91%D0%BC%D0%BD%D1%8B%D0%B9-%D1%80%D0%BE%D0%BC%D0%B0%D0%BD%D1%82%D0%B8%D0%B7%D0%BC/ <br><br>Наши рубрики:<br>#drc_poetry Поэзия современных авторов (в том числе участников Клуба)<br>#drc_stories Проза современных авторов (в том числе участников Клуба)<br>#drc_music Статьи о музыке, исполнителях и композиторах<br>#drc_cinema Статьи о кинематографе и кинокартинах<br>#drc_classics Статьи о классическом искусстве и его представителях<br>#drc_artbook Подборки рисунков, репродукций и изображений<br>#drc_poll Опросы<br>#drc_humour Юмор<br>#drc_spb Мероприятия Клуба в Санкт-Петербурге<br>#drc_moscow Мероприятия Клуба в Москве<br>#drc_kzn Мероприятия Клуба в Казани<br>#drc_online Онлайн-проекты Клуба<br>#drc_guest Гости Клуба и встречи с ними<br>#drc_quote Цитаты<br>#drc_birthday Дни рождения участников Клуба<br>#drc_date Памятные даты, годовщины и праздники<br>#drc_info Информация о Клубе<br>#drc_press Публикации о Клубе в СМИ и других источниках<br>#drc_concert Концертные выступления Клуба и его участников<br><br>Клуб проводит различные мероприятия в Санкт-Петербурге и Москве: литературные чтения-салоны, танцевальные вечеринки, посещения музеев и выставок, фотосессии и т.д. за ними можно следить здесь: https://vk.com/drc_spb - Санкт-Петербург<br>https://vk.com/drc_moscow - Москва<br><br>Добавляйте ваши посты при помощи кнопки “Предложить новость”!";"1"
"73089546";"thehooole";"page";"нора";"Всем привет. :) <br>Меня зовут Даша. Здесь я делюсь своими картинками. Надеюсь, что от них вам станет хотя бы немного теплее. Это самое главное!";"1"
"51254145";"souffrantmittelalter";"page";"Страдающее Средневековье";"Боль, страдания и унижения в Средневековом мире и современной России";"1"
"537764";"klles";"page";"Каледонский лес";"Изнутри больше, чем снаружи<br><br>Каледонский Лес - это новый формат городского пространства для отдыха. Два уютных места в центре Петербурга с настольными играми, книгами и мероприятиями по вечерам. Мы поим гостей лучшим кофе в турке с пряностями и уникальными чайными коктейлями.<br><br>Оплата у нас осуществляется по системе donation (свободная оплата) - вы сами решаете, сколько заплатить за пребывание, участие в мероприятиях и напитки. <br><br>Каждый день у нас что-нибудь происходит. Мы смотрим кино на большом экране, читаем пьесы по ролям, проводим мастер-классы, слушаем сказки, устраиваем вечера поэзии, учим варить зелья, джемим, сражаемся на мечах во дворе, смотрим в микроскоп, гадаем на Таро и курим трубки. Сориентироваться вам в этом поможет наше расписание, которое вывешивается на стену каждое воскресенье.<br><br>А еще у нас можно купить куклы, маски, блокноты и всякую волшебную мелочь ручной работы.<br><br>У нас два адреса. <br><br>Каледонский лес у метро Чкаловская, улица Петрозаводская, дом 3, во дворе. Маленький домик с двускатной крышей и уютным чердаком. Навевает на мысли о жилище сказочной ведьмы.<br><br>Каледонский лес на Садовой, переулок Гривцова, дом 22, вход со двора, код на воротах 22222 (или кнопка ""Каледонский лес""). Большое светлое пространство с чиллаут-зоной, настольными играми, установкой для рисования песком и большим разнообразием чая, кофе и какао.<br><br>Открыты для мира с 13.00 до 23.00.<br><br>''Телефоны для связи'': <br>+7(921)335-60-10 (Полина)<br>+7(931)312-68-79 (Толик)<br>+7(921)878-46-45 (Джо)<br><br>Что такое donation? https://vk.com/topic-537764_30947611<br><br>Как нас найти? https://vk.com/album-537764_220403678<br><br>Расписание на неделю (Каледонский Лес у м.Чкаловская): https://vk.com/topic-537764_33254693<br><br>Расписание на неделю (Каледонский Лес у м.Садовая): https://vk.com/topic-537764_34651681<br><br>В наших пространствах действует сухой закон.";"1"
"42533142";"mmgebooks";"page";"English Books/Книги на английском";"Free eBooks in your Pocket + Video Review<br>All popular formats: ePub, mobi, pdf, fb2, txt";"1"
"133046856";"mgpovidlo";"page";"МГ Повидло";"Только трэш, угар и гуси.<br>Ну и немножко легендарных ролевых игр. <br><br>""Пионержуть"" - Soviet-style страшилка.<br>""Суд последней инстанции 1.0"" - социальная драма. Теперь и на английском!<br>""The dolls"" - душевные метания для тонкочувствующих натур.<br>""Последний Звонок"" - кинематографичный трэш-ужастик.<br>""Терапия"" - ролевая страшилка в декорациях психлечебницы.<br>""Совершенно секретно"" - жестокая трагедия.<br>""Яма"" - историческая повидлодрама.<br>""Суд последней инстанции 2.0"" - бюрократическая судебная драма (совместно с Пушей).<br><br>ГРИ ""Город в огне"" (банка - 2\5 мастерской группы)<br>ПРИ ""Карнавал"" (банка - 2\4 мастерской группы)<br><br>___<br><br>""Серые камни"" - военная драма середины XX - в разработке<br>""Блокпост"" - военная драма конца XX - в разработке<br>""Балканские истории"" - ламповая страшилка - в разработке<br>""Экзорцизм"" - философская страшилка - в разработке<br>""Гордость, предубеждение и зомби"" -ну-вы-поняли-что-в разработке<br><br>-----<br>МГ ""Повидло"" состоит из двух человек и живет в Новосибирске и Санкт-Петербурге.";"1"
